,0,1,2,3,4,5,6,7,8,9,10,11
12497,Monat_12,Stunde_12,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
12498,Monat_12,Stunde_16,Wochentag_5,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_2,Lichverhaeltniss_1,Fahrrad_1,PKW_1,StrassenZustand_0,,
12499,Monat_12,Stunde_9,Wochentag_1,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
12500,Monat_12,Stunde_16,Wochentag_6,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_2,Lichverhaeltniss_2,PKW_1,StrassenZustand_0,,,
12501,Monat_12,Stunde_16,Wochentag_5,Unfallaktegorie_2,UnfallArt_6,UnfallTyp_4,Lichverhaeltniss_1,Fuss_1,Sonstiges_1,StrassenZustand_0,,
12502,Monat_12,Stunde_16,Wochentag_6,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_2,PKW_1,StrassenZustand_0,,,
12503,Monat_12,Stunde_22,Wochentag_1,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12504,Monat_12,Stunde_17,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12505,Monat_12,Stunde_14,Wochentag_6,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_6,Lichverhaeltniss_0,Fahrrad_1,Fuss_1,StrassenZustand_0,,
12506,Monat_12,Stunde_15,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,PKW_1,Fuss_1,StrassenZustand_0,,
12507,Monat_12,Stunde_13,Wochentag_6,Unfallaktegorie_2,UnfallArt_6,UnfallTyp_7,Lichverhaeltniss_0,Fuss_1,Sonstiges_1,StrassenZustand_0,,
12508,Monat_12,Stunde_21,Wochentag_1,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12509,Monat_12,Stunde_15,Wochentag_5,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_4,Lichverhaeltniss_1,PKW_1,Fuss_1,StrassenZustand_0,,
12510,Monat_12,Stunde_12,Wochentag_6,Unfallaktegorie_3,UnfallArt_8,UnfallTyp_1,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12511,Monat_12,Stunde_15,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_7,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12512,Monat_12,Stunde_14,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,PKW_1,KraftRad_1,StrassenZustand_1,,
12513,Monat_12,Stunde_11,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,Fahrrad_1,Sonstiges_1,StrassenZustand_0,,
12514,Monat_12,Stunde_13,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_1,,
12515,Monat_12,Stunde_13,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
12516,Monat_12,Stunde_21,Wochentag_1,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_2,Lichverhaeltniss_2,PKW_1,Fuss_1,StrassenZustand_1,,
12517,Monat_12,Stunde_11,Wochentag_6,Unfallaktegorie_2,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
12518,Monat_12,Stunde_13,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,Sonstiges_1,StrassenZustand_0,,
12519,Monat_12,Stunde_11,Wochentag_6,Unfallaktegorie_2,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
12520,Monat_12,Stunde_8,Wochentag_6,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_7,Lichverhaeltniss_0,Fahrrad_1,Fuss_1,StrassenZustand_0,,
12521,Monat_12,Stunde_13,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12522,Monat_12,Stunde_7,Wochentag_6,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_2,Lichverhaeltniss_2,PKW_1,Fuss_1,StrassenZustand_1,,
12523,Monat_12,Stunde_9,Wochentag_6,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12524,Monat_12,Stunde_10,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
12525,Monat_12,Stunde_9,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
12526,Monat_12,Stunde_15,Wochentag_5,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_2,Lichverhaeltniss_2,PKW_1,Fuss_1,StrassenZustand_0,,
12527,Monat_12,Stunde_9,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,Fahrrad_1,PKW_1,StrassenZustand_0,,
12528,Monat_12,Stunde_18,Wochentag_5,Unfallaktegorie_3,UnfallArt_1,UnfallTyp_5,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_1,,
12529,Monat_12,Stunde_18,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_0,,
12530,Monat_12,Stunde_7,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_0,,
12531,Monat_12,Stunde_20,Wochentag_1,Unfallaktegorie_2,UnfallArt_6,UnfallTyp_4,Lichverhaeltniss_2,PKW_1,Fuss_1,StrassenZustand_1,,
12532,Monat_12,Stunde_15,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
